date,amount,total,countDeadAvg7days
2021-07-24T00:00:00.000Z,3,6468,1.0
2021-07-25T00:00:00.000Z,4,6472,2.0
2021-07-26T00:00:00.000Z,1,6473,2.0
2021-07-27T00:00:00.000Z,1,6474,2.0
2021-07-28T00:00:00.000Z,6,6480,1.0
2021-07-29T00:00:00.000Z,6,6486,2.0
2021-07-30T00:00:00.000Z,2,6488,3.0
2021-07-31T00:00:00.000Z,6,6494,3.0
2021-08-01T00:00:00.000Z,9,6503,3.0
2021-08-02T00:00:00.000Z,9,6512,4.0
2021-08-03T00:00:00.000Z,10,6522,5.0
2021-08-04T00:00:00.000Z,5,6527,6.0
2021-08-05T00:00:00.000Z,16,6543,6.0
2021-08-06T00:00:00.000Z,14,6557,8.0
2021-08-07T00:00:00.000Z,12,6569,9.0
2021-08-08T00:00:00.000Z,19,6588,10.0
2021-08-09T00:00:00.000Z,11,6599,12.0
2021-08-10T00:00:00.000Z,17,6616,12.0
2021-08-11T00:00:00.000Z,16,6632,13.0
2021-08-12T00:00:00.000Z,19,6651,15.0
2021-08-13T00:00:00.000Z,24,6675,15.0
2021-08-14T00:00:00.000Z,18,6693,16.0
2021-08-15T00:00:00.000Z,20,6713,17.0
2021-08-16T00:00:00.000Z,28,6741,17.0
2021-08-17T00:00:00.000Z,20,6761,20.0
2021-08-18T00:00:00.000Z,22,6783,20.0
2021-08-19T00:00:00.000Z,24,6807,21.0
2021-08-20T00:00:00.000Z,24,6831,22.0
2021-08-21T00:00:00.000Z,25,6856,22.0
2021-08-22T00:00:00.000Z,33,6889,23.0
2021-08-23T00:00:00.000Z,20,6909,25.0
2021-08-24T00:00:00.000Z,31,6940,24.0
2021-08-25T00:00:00.000Z,28,6968,25.0
